Prompt_id,conversation_json,turn_1_user,turn_2_user,turn_3_user,active_instruction_ids_json,active_kwargs_json
33,"[{""role"": ""user"", ""content"": ""Compose a poem all in lowercase letters about my friend Barnet.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should include the word reliable at least 3 times.""}]",Compose a poem all in lowercase letters about my friend Barnet.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",Your response should include the word reliable at least 3 times.,"[""change_case:english_lowercase"", ""detectable_format:title"", ""keywords:frequency""]","[{}, {}, {""relation"": ""at least"", ""keyword"": ""reliable"", ""frequency"": 3}]"
34,"[{""role"": ""user"", ""content"": ""Write a rap about a new smartphone. At the end of your response add a postscript starting with P.P.S The response must contain at least 6 placeholders represented by square brackets.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have less than 11 times.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: speed, performance, innovation.""}]",Write a rap about a new smartphone. At the end of your response add a postscript starting with P.P.S The response must contain at least 6 placeholders represented by square brackets.,"In your response, words in all capital letters should have less than 11 times.","Your response should include the following keywords: speed, performance, innovation.","[""detectable_content:postscript"", ""detectable_content:number_placeholders"", ""change_case:capital_word_frequency"", ""keywords:existence""]","[{""postscript_marker"": ""P.P.S""}, {""num_placeholders"": 6}, {""capital_relation"": ""less than"", ""capital_frequency"": 11}, {""keywords"": [""speed"", ""performance"", ""innovation""]}]"
35,"[{""role"": ""user"", ""content"": ""Write a rap about a new smartphone. At the end of your response add a postscript starting with P.P.S The response must contain at least 6 placeholders represented by square brackets.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: innovation, features, speed.""}]",Write a rap about a new smartphone. At the end of your response add a postscript starting with P.P.S The response must contain at least 6 placeholders represented by square brackets.,You should provide two responses. Separate your two responses with six asterisks (******),"Your response should include the following keywords: innovation, features, speed.","[""detectable_content:postscript"", ""detectable_content:number_placeholders"", ""combination:two_responses"", ""keywords:existence""]","[{""postscript_marker"": ""P.P.S""}, {""num_placeholders"": 6}, {}, {""keywords"": [""innovation"", ""features"", ""speed""]}]"
36,"[{""role"": ""user"", ""content"": ""I really love the album called Lilith. I want to introduce it to my friend Luheng. Draft an email for it. Add a postscript to your response that starts with P.S.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: friend, enjoy, music.""}]",I really love the album called Lilith. I want to introduce it to my friend Luheng. Draft an email for it. Add a postscript to your response that starts with P.S.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","Your response should include the following keywords: friend, enjoy, music.","[""detectable_content:postscript"", ""detectable_format:title"", ""keywords:existence""]","[{""postscript_marker"": ""P.S.""}, {}, {""keywords"": [""friend"", ""enjoy"", ""music""]}]"
37,"[{""role"": ""user"", ""content"": ""I really love the album called Lilith. I want to introduce it to my friend Luheng. Draft an email for it. Add a postscript to your response that starts with P.S.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""The result should have at least 100 sentences.""}]",I really love the album called Lilith. I want to introduce it to my friend Luheng. Draft an email for it. Add a postscript to your response that starts with P.S.,"Make sure your entire response is in English, and in all capital letters.",The result should have at least 100 sentences.,"[""detectable_content:postscript"", ""change_case:english_capital"", ""length_constraints:number_sentences""]","[{""postscript_marker"": ""P.S.""}, {}, {""relation"": ""at least"", ""num_sentences"": 100}]"
38,"[{""role"": ""user"", ""content"": ""Create a 5 day itinerary for a trip to Mesa, Arizona. Wrap your entire response with double quotes and include the letter \""l\"" at least 15 times.""}, {""role"": ""user"", ""content"": ""The result should contain exactly 2 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have less than 11 times.""}]","Create a 5 day itinerary for a trip to Mesa, Arizona. Wrap your entire response with double quotes and include the letter ""l"" at least 15 times.",The result should contain exactly 2 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"In your response, words in all capital letters should have less than 11 times.","[""startend:quotation"", ""keywords:letter_frequency"", ""length_constraints:number_paragraphs"", ""change_case:capital_word_frequency""]","[{}, {""let_relation"": ""at least"", ""letter"": ""l"", ""let_frequency"": 15}, {""num_paragraphs"": 2}, {""capital_relation"": ""less than"", ""capital_frequency"": 11}]"
39,"[{""role"": ""user"", ""content"": ""Create a 5 day itinerary for a trip to Mesa, Arizona. Wrap your entire response with double quotes and include the letter \""l\"" at least 15 times.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""Your result must be entirely in lowercase English.""}]","Create a 5 day itinerary for a trip to Mesa, Arizona. Wrap your entire response with double quotes and include the letter ""l"" at least 15 times.",The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,Your result must be entirely in lowercase English.,"[""startend:quotation"", ""keywords:letter_frequency"", ""length_constraints:number_paragraphs"", ""change_case:english_lowercase""]","[{}, {""let_relation"": ""at least"", ""letter"": ""l"", ""let_frequency"": 15}, {""num_paragraphs"": 3}, {}]"
40,"[{""role"": ""user"", ""content"": ""Make a rubric for a home theater installation targeting moms. Your answer must contain exactly 4 bullet points. Use markdown bullet points such as:\n* This is point 1""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: design, functionality, support.""}, {""role"": ""user"", ""content"": ""The response should contain fewer than 600 words.""}]","Make a rubric for a home theater installation targeting moms. Your answer must contain exactly 4 bullet points. Use markdown bullet points such as:
* This is point 1","Your response should include the following keywords: design, functionality, support.",The response should contain fewer than 600 words.,"[""detectable_format:number_bullet_lists"", ""keywords:existence"", ""length_constraints:number_words""]","[{""num_bullets"": 4}, {""keywords"": [""design"", ""functionality"", ""support""]}, {""relation"": ""less than"", ""num_words"": 600}]"
41,"[{""role"": ""user"", ""content"": ""Make a rubric for a home theater installation targeting moms. Your answer must contain exactly 4 bullet points. Use markdown bullet points such as:\n* This is point 1""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have at least 1 times.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: budget, instructions, functionality.""}]","Make a rubric for a home theater installation targeting moms. Your answer must contain exactly 4 bullet points. Use markdown bullet points such as:
* This is point 1","In your response, words in all capital letters should have at least 1 times.","Your response should not include the following words: budget, instructions, functionality.","[""detectable_format:number_bullet_lists"", ""change_case:capital_word_frequency"", ""keywords:forbidden_words""]","[{""num_bullets"": 4}, {""capital_relation"": ""at least"", ""capital_frequency"": 1}, {""forbidden_words"": [""budget"", ""instructions"", ""functionality""]}]"
42,"[{""role"": ""user"", ""content"": ""\""Coincidence is God's way of remaining anonymous.\"" What are your thoughts on this quote? Please do not use commas in your response. Answer with more than 800 words.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}]",Coincidence is God's way of remaining anonymous. What are your thoughts on this quote? Please do not use commas in your response. Answer with more than 800 words.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","Make sure your entire response is in English, and in all capital letters.","[""punctuation:no_comma"", ""length_constraints:number_words"", ""detectable_format:title"", ""change_case:english_capital""]","[{}, {""relation"": ""at least"", ""num_words"": 801}, {}, {}]"
43,"[{""role"": ""user"", ""content"": ""\""Coincidence is God's way of remaining anonymous.\"" What are your thoughts on this quote? Please do not use commas in your response. Answer with more than 800 words.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your result must be entirely in lowercase English.""}]",Coincidence is God's way of remaining anonymous. What are your thoughts on this quote? Please do not use commas in your response. Answer with more than 800 words.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",Your result must be entirely in lowercase English.,"[""punctuation:no_comma"", ""length_constraints:number_words"", ""detectable_format:title"", ""change_case:english_lowercase""]","[{}, {""relation"": ""at least"", ""num_words"": 801}, {}, {}]"
44,"[{""role"": ""user"", ""content"": ""Write a cover letter for a job at a local coffee shop in the form of a poem. Highlight at least 5 text sections using \""*\"". For example: *3 years of experience*.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}, {""role"": ""user"", ""content"": ""Your response should include the word foam less than 2 times.""}]","Write a cover letter for a job at a local coffee shop in the form of a poem. Highlight at least 5 text sections using ""*"". For example: *3 years of experience*.","The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.",Your response should include the word foam less than 2 times.,"[""detectable_format:number_highlighted_sections"", ""detectable_content:postscript"", ""keywords:frequency""]","[{""num_highlights"": 5}, {""postscript_marker"": ""P.S.""}, {""relation"": ""less than"", ""keyword"": ""foam"", ""frequency"": 2}]"
45,"[{""role"": ""user"", ""content"": ""Write a cover letter for a job at a local coffee shop in the form of a poem. Highlight at least 5 text sections using \""*\"". For example: *3 years of experience*.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: service, latte, enthusiasm.""}]","Write a cover letter for a job at a local coffee shop in the form of a poem. Highlight at least 5 text sections using ""*"". For example: *3 years of experience*.","Make sure your entire response is in English, and in all capital letters.","Your response should include the following keywords: service, latte, enthusiasm.","[""detectable_format:number_highlighted_sections"", ""change_case:english_capital"", ""keywords:existence""]","[{""num_highlights"": 5}, {}, {""keywords"": [""service"", ""latte"", ""enthusiasm""]}]"
46,"[{""role"": ""user"", ""content"": ""Create a riddle about the name Sheldon using only 10 words. Make sure to only use capital letters in your entire response.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}, {""role"": ""user"", ""content"": ""The response should contain fewer than 600 words.""}]",Create a riddle about the name Sheldon using only 10 words. Make sure to only use capital letters in your entire response.,You should provide two responses. Separate your two responses with six asterisks (******),The response should contain fewer than 600 words.,"[""change_case:english_capital"", ""combination:two_responses"", ""length_constraints:number_words""]","[{}, {}, {""relation"": ""less than"", ""num_words"": 600}]"
47,"[{""role"": ""user"", ""content"": ""Write a logic quiz for teenagers about a chesterfield. In your entire response, the letter t should appear at most once.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""finally, guess which furnishing i am.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have at least 20 times.""}]","Write a logic quiz for teenagers about a chesterfield. In your entire response, the letter t should appear at most once.","Your response should end with the exact phrase: ""finally, guess which furnishing i am."" No other words should follow this phrase.","In your response, words in all capital letters should have at least 20 times.","[""keywords:letter_frequency"", ""startend:end_checker"", ""change_case:capital_word_frequency""]","[{""let_relation"": ""less than"", ""letter"": ""t"", ""let_frequency"": 2}, {""end_phrase"": ""finally, guess which furnishing i am.""}, {""capital_relation"": ""at least"", ""capital_frequency"": 20}]"
48,"[{""role"": ""user"", ""content"": ""Write a logic quiz for teenagers about a chesterfield. In your entire response, the letter t should appear at most once.""}, {""role"": ""user"", ""content"": ""The response should contain at least 1 sentence.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have at least 3 times.""}]","Write a logic quiz for teenagers about a chesterfield. In your entire response, the letter t should appear at most once.",The response should contain at least 1 sentence.,"In your response, words in all capital letters should have at least 3 times.","[""keywords:letter_frequency"", ""length_constraints:number_sentences"", ""change_case:capital_word_frequency""]","[{""let_relation"": ""less than"", ""letter"": ""t"", ""let_frequency"": 2}, {""relation"": ""at least"", ""num_sentences"": 1}, {""capital_relation"": ""at least"", ""capital_frequency"": 3}]"
49,"[{""role"": ""user"", ""content"": ""Write the lyrics to a hit song by the rock band 'The Gifted and The Not Gifted'. To make it rocky, the response should be in all capital letters. The word \""rock\"" should not appear in your response.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}]","Write the lyrics to a hit song by the rock band 'The Gifted and The Not Gifted'. To make it rocky, the response should be in all capital letters. The word ""rock"" should not appear in your response.",The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","[""change_case:english_capital"", ""keywords:forbidden_words"", ""length_constraints:number_paragraphs"", ""detectable_content:postscript""]","[{}, {""forbidden_words"": [""rock""]}, {""num_paragraphs"": 3}, {""postscript_marker"": ""P.S.""}]"
50,"[{""role"": ""user"", ""content"": ""Write the lyrics to a hit song by the rock band 'The Gifted and The Not Gifted'. To make it rocky, the response should be in all capital letters. The word \""rock\"" should not appear in your response.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}]","Write the lyrics to a hit song by the rock band 'The Gifted and The Not Gifted'. To make it rocky, the response should be in all capital letters. The word ""rock"" should not appear in your response.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"[""change_case:english_capital"", ""keywords:forbidden_words"", ""detectable_format:title"", ""length_constraints:number_paragraphs""]","[{}, {""forbidden_words"": [""rock""]}, {}, {""num_paragraphs"": 3}]"
51,"[{""role"": ""user"", ""content"": ""Write a funny haiku about moms, containing keywords \""mom\"" and \""mother\"" in your response.\nFirst repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)""}, {""role"": ""user"", ""content"": ""The result should contain three sections, and each section should be separated by the word \""SECTION\"" in capital letters.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}]","Write a funny haiku about moms, containing keywords ""mom"" and ""mother"" in your response.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","The result should contain three sections, and each section should be separated by the word ""SECTION"" in capital letters.","The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","[""combination:repeat_prompt"", ""keywords:existence"", ""detectable_format:multiple_sections"", ""detectable_content:postscript""]","[{""prompt_to_repeat"": ""Write a funny haiku about moms, containing keywords \""mom\"" and \""mother\"" in your response.""}, {""keywords"": [""mom"", ""mother""]}, {""section_spliter"": ""SECTION"", ""num_sections"": 3}, {""postscript_marker"": ""P.S.""}]"
52,"[{""role"": ""user"", ""content"": ""Write a funny haiku about moms, containing keywords \""mom\"" and \""mother\"" in your response.\nFirst repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""The text should contain less than 20 sentences.""}]","Write a funny haiku about moms, containing keywords ""mom"" and ""mother"" in your response.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","Make sure your entire response is in English, and in all capital letters.",The text should contain less than 20 sentences.,"[""combination:repeat_prompt"", ""keywords:existence"", ""change_case:english_capital"", ""length_constraints:number_sentences""]","[{""prompt_to_repeat"": ""Write a funny haiku about moms, containing keywords \""mom\"" and \""mother\"" in your response.""}, {""keywords"": [""mom"", ""mother""]}, {}, {""relation"": ""less than"", ""num_sentences"": 20}]"
53,"[{""role"": ""user"", ""content"": ""Write a social media post for students of Islamic history about the hajj pilgrimage. Use all lowercase letters and include the word story at least twice.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}]",Write a social media post for students of Islamic history about the hajj pilgrimage. Use all lowercase letters and include the word story at least twice.,The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,Wrap your whole response with double quotation marks.,"[""change_case:english_lowercase"", ""keywords:frequency"", ""length_constraints:number_paragraphs"", ""startend:quotation""]","[{}, {""relation"": ""at least"", ""keyword"": ""story"", ""frequency"": 2}, {""num_paragraphs"": 3}, {}]"
54,"[{""role"": ""user"", ""content"": ""Write a social media post for students of Islamic history about the hajj pilgrimage. Use all lowercase letters and include the word story at least twice.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}, {""role"": ""user"", ""content"": ""Your response should have 3 paragraphs and the 3-th paragraph should start with the word muhammad. The paragraphs should be separated by two new lines.""}]",Write a social media post for students of Islamic history about the hajj pilgrimage. Use all lowercase letters and include the word story at least twice.,"The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.",Your response should have 3 paragraphs and the 3-th paragraph should start with the word muhammad. The paragraphs should be separated by two new lines.,"[""change_case:english_lowercase"", ""keywords:frequency"", ""detectable_content:postscript"", ""length_constraints:nth_paragraph_first_word""]","[{}, {""relation"": ""at least"", ""keyword"": ""story"", ""frequency"": 2}, {""postscript_marker"": ""P.S.""}, {""first_word"": ""muhammad"", ""num_paragraphs"": 3, ""nth_paragraph"": 3}]"
55,"[{""role"": ""user"", ""content"": ""Can you give me two different formal alternatives to \""What's up? I'm going to the beach today\"" and do not use any commas in your response.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}]","Can you give me two different formal alternatives to ""What's up? I'm going to the beach today"" and do not use any commas in your response.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",You should provide two responses. Separate your two responses with six asterisks (******),"[""punctuation:no_comma"", ""detectable_format:title"", ""combination:two_responses""]","[{}, {}, {}]"
56,"[{""role"": ""user"", ""content"": ""What happened when the Tang dynasty of China was in power? Make sure to use the word war at least 8 times, and the word peace at least 10 times.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""thus, the interplay of war and peace shaped a legacy that resonates through history.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}]","What happened when the Tang dynasty of China was in power? Make sure to use the word war at least 8 times, and the word peace at least 10 times.","Your response should end with the exact phrase: ""thus, the interplay of war and peace shaped a legacy that resonates through history."" No other words should follow this phrase.","Make sure your entire response is in English, and in all capital letters.","[""keywords:frequency"", ""keywords:frequency"", ""startend:end_checker"", ""change_case:english_capital""]","[{""relation"": ""at least"", ""keyword"": ""war"", ""frequency"": 8}, {""relation"": ""at least"", ""keyword"": ""peace"", ""frequency"": 10}, {""end_phrase"": ""thus, the interplay of war and peace shaped a legacy that resonates through history.""}, {}]"
57,"[{""role"": ""user"", ""content"": ""What happened when the Tang dynasty of China was in power? Make sure to use the word war at least 8 times, and the word peace at least 10 times.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}]","What happened when the Tang dynasty of China was in power? Make sure to use the word war at least 8 times, and the word peace at least 10 times.","Make sure your entire response is in English, and in all capital letters.","The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","[""keywords:frequency"", ""keywords:frequency"", ""change_case:english_capital"", ""detectable_content:postscript""]","[{""relation"": ""at least"", ""keyword"": ""war"", ""frequency"": 8}, {""relation"": ""at least"", ""keyword"": ""peace"", ""frequency"": 10}, {}, {""postscript_marker"": ""P.S.""}]"
58,"[{""role"": ""user"", ""content"": ""What sentiments existed in the Croatian and Serbian nations towards the Austrian Empire at the end of the 19th century? Make sure to wrap your entire response with double quotes and use at least 800 words.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have less than 10 times.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: reform, conflict, identity.""}]",What sentiments existed in the Croatian and Serbian nations towards the Austrian Empire at the end of the 19th century? Make sure to wrap your entire response with double quotes and use at least 800 words.,"In your response, words in all capital letters should have less than 10 times.","Your response should not include the following words: reform, conflict, identity.","[""startend:quotation"", ""length_constraints:number_words"", ""change_case:capital_word_frequency"", ""keywords:forbidden_words""]","[{}, {""relation"": ""at least"", ""num_words"": 800}, {""capital_relation"": ""less than"", ""capital_frequency"": 10}, {""forbidden_words"": [""reform"", ""conflict"", ""identity""]}]"
59,"[{""role"": ""user"", ""content"": ""Which one is a better brand for sneakers: Prada or Nike? Your entire response should be in English, and in all capital letters. At the end of your response, please explicitly add a postscript starting with P.S. The word sneaker should appear 10 or more times in your response.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""all things considered, each brand has its strengths depending on what you're looking for in a sneaker.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""The output should contain at least 3 sentences.""}]","Which one is a better brand for sneakers: Prada or Nike? Your entire response should be in English, and in all capital letters. At the end of your response, please explicitly add a postscript starting with P.S. The word sneaker should appear 10 or more times in your response.","Your response should end with the exact phrase: ""all things considered, each brand has its strengths depending on what you're looking for in a sneaker."" No other words should follow this phrase.",The output should contain at least 3 sentences.,"[""change_case:english_capital"", ""detectable_content:postscript"", ""keywords:frequency"", ""startend:end_checker"", ""length_constraints:number_sentences""]","[{}, {""postscript_marker"": ""P.S.""}, {""relation"": ""at least"", ""keyword"": ""sneaker"", ""frequency"": 10}, {""end_phrase"": ""all things considered, each brand has its strengths depending on what you're looking for in a sneaker.""}, {""relation"": ""at least"", ""num_sentences"": 3}]"
60,"[{""role"": ""user"", ""content"": ""Which one is a better brand for sneakers: Prada or Nike? Your entire response should be in English, and in all capital letters. At the end of your response, please explicitly add a postscript starting with P.S. The word sneaker should appear 10 or more times in your response.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}]","Which one is a better brand for sneakers: Prada or Nike? Your entire response should be in English, and in all capital letters. At the end of your response, please explicitly add a postscript starting with P.S. The word sneaker should appear 10 or more times in your response.",The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","[""change_case:english_capital"", ""detectable_content:postscript"", ""keywords:frequency"", ""length_constraints:number_paragraphs"", ""detectable_format:title""]","[{}, {""postscript_marker"": ""P.S.""}, {""relation"": ""at least"", ""keyword"": ""sneaker"", ""frequency"": 10}, {""num_paragraphs"": 3}, {}]"
61,"[{""role"": ""user"", ""content"": ""How many feet off the ground was the tallest skyscraper in the world in 2000? Please include only the main points in your answer. Finish your response with the exact phrase of \""Is there anything else I can help with?\"" with no other words after the word \""with\"". Mention the word \""skyscraper\"" for at least 8 times.""}, {""role"": ""user"", ""content"": ""Your response should contain a postscript with the marker \""P.P.S\"".""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}]","How many feet off the ground was the tallest skyscraper in the world in 2000? Please include only the main points in your answer. Finish your response with the exact phrase of ""Is there anything else I can help with?"" with no other words after the word ""with"". Mention the word ""skyscraper"" for at least 8 times.","Your response should contain a postscript with the marker ""P.P.S"".","Make sure your entire response is in English, and in all capital letters.","[""startend:end_checker"", ""keywords:frequency"", ""detectable_content:postscript"", ""change_case:english_capital""]","[{""end_phrase"": ""Is there anything else I can help with?""}, {""relation"": ""at least"", ""keyword"": ""skyscraper"", ""frequency"": 8}, {""postscript_marker"": ""P.P.S""}, {}]"
62,"[{""role"": ""user"", ""content"": ""Can you give me a nickname for Stafford? Please use JSON format and do not say the word \""nickname\"" in the response. Do not add anything outside of the JSON block.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""Your response should have 3 paragraphs and the 1-th paragraph should start with the word sford. The paragraphs should be separated by two new lines.""}]","Can you give me a nickname for Stafford? Please use JSON format and do not say the word ""nickname"" in the response. Do not add anything outside of the JSON block.","Make sure your entire response is in English, and in all capital letters.",Your response should have 3 paragraphs and the 1-th paragraph should start with the word sford. The paragraphs should be separated by two new lines.,"[""detectable_format:json_format"", ""keywords:forbidden_words"", ""change_case:english_capital"", ""length_constraints:nth_paragraph_first_word""]","[{}, {""forbidden_words"": [""nickname""]}, {}, {""first_word"": ""sford"", ""num_paragraphs"": 3, ""nth_paragraph"": 1}]"
63,"[{""role"": ""user"", ""content"": ""I work in the marketing department and I need your help. I need a template for an advertisement for a new product which is a portable camera. In the template, capitalize a few words to stress main points. Please limit the number of words with all capital letters to less than four. Your response should contain at least ten sentences.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}]","I work in the marketing department and I need your help. I need a template for an advertisement for a new product which is a portable camera. In the template, capitalize a few words to stress main points. Please limit the number of words with all capital letters to less than four. Your response should contain at least ten sentences.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",Wrap your whole response with double quotation marks.,"[""change_case:capital_word_frequency"", ""length_constraints:number_sentences"", ""detectable_format:title"", ""startend:quotation""]","[{""capital_relation"": ""less than"", ""capital_frequency"": 4}, {""relation"": ""at least"", ""num_sentences"": 10}, {}, {}]"
64,"[{""role"": ""user"", ""content"": ""I work in the marketing department and I need your help. I need a template for an advertisement for a new product which is a portable camera. In the template, capitalize a few words to stress main points. Please limit the number of words with all capital letters to less than four. Your response should contain at least ten sentences.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""capture the world in your pocket.\"" No other words should follow this phrase.""}]","I work in the marketing department and I need your help. I need a template for an advertisement for a new product which is a portable camera. In the template, capitalize a few words to stress main points. Please limit the number of words with all capital letters to less than four. Your response should contain at least ten sentences.","The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","Your response should end with the exact phrase: ""capture the world in your pocket."" No other words should follow this phrase.","[""change_case:capital_word_frequency"", ""length_constraints:number_sentences"", ""detectable_content:postscript"", ""startend:end_checker""]","[{""capital_relation"": ""less than"", ""capital_frequency"": 4}, {""relation"": ""at least"", ""num_sentences"": 10}, {""postscript_marker"": ""P.S.""}, {""end_phrase"": ""capture the world in your pocket.""}]"
65,"[{""role"": ""user"", ""content"": ""Can you write me an essay about the history of Martin Van Buren's presidency? Make sure that it's in English and not a single letter in your entire response is capitalized whatsoever.""}, {""role"": ""user"", ""content"": ""The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""Your response should include the word economy at least 3 times.""}]",Can you write me an essay about the history of Martin Van Buren's presidency? Make sure that it's in English and not a single letter in your entire response is capitalized whatsoever.,The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.,Your response should include the word economy at least 3 times.,"[""change_case:english_lowercase"", ""length_constraints:number_paragraphs"", ""keywords:frequency""]","[{}, {""num_paragraphs"": 6}, {""relation"": ""at least"", ""keyword"": ""economy"", ""frequency"": 3}]"
